"Subject","Block","Trial","Shape","Label","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Response","RT_ms","RT_sec","ACC"
180,NA,NA,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",NA,0,0,0
180,NA,NA,"C.bmp","生人","Nonmatching","生人","Stranger","Stranger","你","Self","Self",1,939,0.939,1
180,NA,NA,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,692,0.692,1
180,NA,NA,"T.bmp","你","Nonmatching","你","Self","Self","生人","Stranger","Stranger",NA,0,0,0
180,NA,NA,"T.bmp","你","Nonmatching","你","Self","Self","生人","Stranger","Stranger",1,811,0.811,1
180,NA,NA,"C.bmp","生人","Nonmatching","生人","Stranger","Stranger","你","Self","Self",NA,0,0,0
180,NA,NA,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",NA,0,0,0
180,NA,NA,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",NA,0,0,0
180,NA,NA,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,702,0.702,1
180,NA,NA,"C.bmp","生人","Nonmatching","生人","Stranger","Stranger","你","Self","Self",2,830,0.83,0
180,NA,NA,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",1,950,0.95,0
180,NA,NA,"T.bmp","你","Nonmatching","你","Self","Self","生人","Stranger","Stranger",NA,0,0,0
180,NA,NA,"C.bmp","生人","Nonmatching","生人","Stranger","Stranger","你","Self","Self",2,595,0.595,0
180,NA,NA,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,1093,1.093,1
180,NA,NA,"T.bmp","你","Nonmatching","你","Self","Self","生人","Stranger","Stranger",NA,0,0,0
180,NA,NA,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",NA,0,0,0
180,NA,NA,"T.bmp","你","Nonmatching","你","Self","Self","生人","Stranger","Stranger",1,931,0.931,1
180,NA,NA,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",1,765,0.765,0
